,Country,Link,Desired_Table,Total_Men,Total_Women
39,Cook Islands,https://en.wikipedia.org/wiki/Cook_Islands_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    1      0      1
1   Canoeing    1      2      3
2   Swimming    1      1      2
3      Total    3      3      6",3,3
40,Costa Rica,https://en.wikipedia.org/wiki/Costa_Rica_at_the_2020_Summer_Olympics,"        Sport  Men  Women  Total
0   Athletics    1      2      3
1     Cycling    2      1      3
2  Gymnastics    0      1      1
3        Judo    1      0      1
4     Surfing    1      2      3
5    Swimming    1      1      2
6   Taekwondo    0      1      1
7       Total    6      8     14",6,8
41,Croatia,https://en.wikipedia.org/wiki/Croatia_at_the_2020_Summer_Olympics,"           Sport  Men  Women  Total
0      Athletics    1      6      7
1         Boxing    1      1      2
2       Canoeing    1      2      3
3        Cycling    1      0      1
4     Gymnastics    1      1      2
5           Judo    0      3      3
6         Karate    1      0      1
7         Rowing    3      0      3
8        Sailing    3      1      4
9       Shooting    3      1      4
10      Swimming    1      1      2
11  Table tennis    3      0      3
12     Taekwondo    2      2      4
13        Tennis    4      2      6
14    Water polo   13      0     13
15     Wrestling    2      0      2
16         Total   40     20     60",40,20
42,Cuba,https://en.wikipedia.org/wiki/Cuba_at_the_2020_Summer_Olympics,"                Sport  Men  Women  Total
0           Athletics    7     13     20
1              Boxing    7      0      7
2            Canoeing    2      2      4
3             Cycling    0      1      1
4          Gymnastics    0      1      1
5                Judo    3      3      6
6   Modern pentathlon    1      1      2
7              Rowing    0      1      1
8            Shooting    3      2      5
9            Swimming    1      1      2
10       Table tennis    1      1      2
11          Taekwondo    1      0      1
12         Volleyball    0      2      2
13      Weightlifting    1      3      4
14          Wrestling    9      3     12
15              Total   36     34     70",36,34
43,Cyprus,https://en.wikipedia.org/wiki/Cyprus_at_the_2020_Summer_Olympics,"        Sport  Men  Women  Total
0   Athletics    2      1      3
1     Cycling    0      1      1
2  Gymnastics    1      0      1
3     Sailing    2      2      4
4    Shooting    3      1      4
5    Swimming    1      1      2
6       Total    9      6     15",9,6
44,Czech Republic,https://en.wikipedia.org/wiki/Czech_Republic_at_the_2020_Summer_Olympics,"                Sport  Men  Women  Total
0             Archery    0      1      1
1           Athletics   14     14     28
2          Basketball   12      0     12
3            Canoeing    6      2      8
4             Cycling    5      2      7
5          Equestrian    5      1      6
6             Fencing    2      0      2
7                Golf    1      1      2
8          Gymnastics    1      1      2
9                Judo    2      0      2
10  Modern pentathlon    2      0      2
11             Rowing    5      2      7
12            Sailing    1      0      1
13           Shooting    6      2      8
14     Sport climbing    1      0      1
15           Swimming    4      5      9
16       Table Tennis    2      1      3
17             Tennis    1      5      6
18          Triathlon    0      2      2
19         Volleyball    2      2      4
20      Weightlifting    1      0      1
21          Wrestling    1      0      1
22              Total   74     41    115",74,41
45,Democratic Republic of the Congo,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    1      0      1
1     Boxing    2      2      4
2       Judo    0      1      1
3  Taekwondo    0      1      1
4      Total    3      4      7",3,4
46,Denmark,https://en.wikipedia.org/wiki/Denmark_at_the_2020_Summer_Olympics,"            Sport  Men  Women  Total
0         Archery    0      1      1
1       Athletics    9      8     17
2       Badminton    5      4      9
3        Canoeing    0      4      4
4         Cycling   11      7     18
5      Equestrian    2      3      5
6            Golf    2      2      4
7        Handball   14      0     14
8            Judo    0      1      1
9          Rowing    3      6      9
10        Sailing    3      5      8
11       Shooting    2      2      4
12  Skateboarding    1      0      1
13       Swimming    3      8     11
14   Table tennis    1      0      1
15      Wrestling    1      0      1
16          Total   57     51    108",57,51
47,Dominica,https://en.wikipedia.org/wiki/Dominica_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    1      1      2
1      Total    1      1      2",1,1
48,Dominican Republic,https://en.wikipedia.org/wiki/Dominican_Republic_at_the_2020_Summer_Olympics,"            Sport  Men Women  Total
0       Athletics    4     2      6
1        Baseball   24     —     24
2          Boxing    5     2      7
3          Diving    1     0      1
4      Equestrian    1     1      2
5            Judo    1     0      1
6          Rowing    1     0      1
7        Swimming    1     1      2
8       Taekwondo    2     1      3
9      Volleyball    0    12     12
10  Weightlifting    2     3      5
11          Total   42    22     64",42,22
